Title,Author,CallNo,AccNo,
Linear algebra: an introductory approach,"Curtis, Charles W.",512.5 CUR,241535,
Linear algebra: pure and applied,"Goodaire, Edgar G.",512.5 GOO,314494,
Linear algebra: theory and applications,"Cheney, Ward",512.5 CHE,265339,
"Linear circuit analysis: time domain, phasor, and laplace transform approaches","DeCarlo, Raymond A.",621.3192 DEC,276055,
Linear control systems with MATLAB applications,"Manke, B.S.",629.832 MAN,303107,
Linear programming and game theory,"Chatterjee, Dipak",519.72 CHA,238870,
Linux administration: a beginner's guide,"Shah, Steve",004.13 SHA,204388,
Linux kernel programming,"Beck, Michael",005.382L LIN,257573,
Local government in India,"Maheshwari, Shriram",352.140954 MAH,190079,
Locational analysis in human geography,"Haggett, Peter",910.13042 HAG,62907,
Logarithmic and mathematical tables: four figure for schools and colleges,"Popli, Mahesh K.",512.9220021 POP,251062,
Logic in computer science: modelling and reasoning about systems,"Huth, Michael",005.1015113 HUT,316862,
logistics in international business,"Aserkar, Rajiv",382 ASE,239604,
"Logistics management: difinition, dimension and functional applications:as per UGC model curriculum","Bhattacharyya, S.K.",658.7 BHA,260895,
Low back disorders: Evidence - Based prevention and rehabiliation,"McGill,Stuart",617.564052 MCG,300410,
Low back pain syndrome,"Cailliet, Rene",617.564 CAI,285801,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Title,Author,Call No.,Acc No.,
Macbeth,"Shakespeare, William, 1564-1616",822.33T5-6 SHA,R1915,
Machine design,"Black, Paul H",621.815 BLA,119532,
Machine design data book,Kamal Kumar,621.815 KAM,233209,
Machine Design Data Book,"Jadon, Vijay Kumar",621.815 JAD,299917,
Machine design exercises,"Trikha, S.N.",621.815 TRI,230910,
Machine drawing,"Sidheswar, N",604.2 SID,203223,
Machine drawing,"Nagpal, G R",604.2 NAG,232988,
Machine drawing,"Khaliq, A.",604.2 MAC,251067,
Machine elements in mechanical design,"Mott, Robert L",621.815 MOT,182420,
Machine learning,"Mitchell, Tom M.",006.31 MIT,265755,
"Machine learning refined: foundations, algorithms and applications","Watt, Jeremy",006.31 WAT,320399,
Machine learning: the art and science of algorithms that make sense of data,"Flach, Peter",006.31 FLA,316867,
Machine tool design and numerical control,"Mehta, N. K",621.902 MEH,203220,
Machine tool engineering,"Nagpal, G R",621.902 NAG,233003,
Macro economics: analysis and policy,"Chaturvedi, D. D",339 CHA,183632,
Macroeconomic,"Eaker, Mark R",339 EAK,105128,
Macroeconomic analysis,"Shapiro, Edward",339.01 SHA,300036,
Macroeconomic theory,"Vaish, M. C.",339.01 VAI,303037,
Macroeconomic theory and policy,"Branson, William H",339.01 BRA,103268,
Macro-economic theory: a mathematical treatment,"Allen, R. G. D",339.01 ALL,63509,
Macroeconomics,"Dornbusch, Rudiger",339 DOR,198158,
Macroeconomics,"Handa, Jagdish",339 HAN,274080,
Macroeconomics,"Dornbusch, Rudiger",339 DOR,277269,
Macroeconomics,"Mankiw, N. Gregory",339.5 MAN,277289,
Macroeconomics,"Dornbusch, Rudiger",339 DOR,285584,
"Macroeconomics and the wage bargain.: a modern approach to employment, inflation and the exchange rate.","Carlin, Wendy",339.5 CAR,206806,
Macroeconomics for management students,"Nag, A",339.5 NAG,199930,
Macroeconomics.,"Farmer,Roger E. A.",339 FAR,206811,
Macroeconomics: an introduction to keynesian-neoclassical controversies,"Levacis, Rosalind",339 LEV,164527,
"Macroeconomics: imperfections, institutions, and policies","Carlin, Wendy",339.5 CAR,276274,
"Macro-economics: the measurement, analysis, and control of aggregate economic activity","Dernburg, Thomas F",339 DER,C8236,
Macroeconomics: theories and policies,"Froyen, Richard T",339.01 FRO,195296,
Macroeconomics: theory and policy,"Ackley, Gardner",339.01 ACK,66965,
Macroeconomics: theory and policy,"Ahuja, H L",339.01 AHU,303048,
Main currents in sociological thoughts,"Aron, Raymond",301 ARO,154464,
Major contemporary constitutional systems,"Bombwall, K. R",342.02 BOM,C9146,
Major natural regions,Saied-Ud-Din Ahmad,910.021 SAI,C10330,
Maleev and Hartman machine design: in S. I. units,Maleev,621.815 MAL,181796,
Management,"Stoner, James A. F.",658 STO,176593,
Management,"Robbins, Stephen P.",658 ROB,229889,
Management accounting,"Gowda, J. Made",658.1511 GOW,180535,
Management accounting,"Gupta, S. P.",658.1511 GUP,189878,
Management accounting,"Khan, M. Y.",658.1511 KHA,195729,
management accounting,Agrawal M.R.,658.1511 AGR,207751,
Management accounting,"Jain, Sumit",658.1511 JAI,250058,
Management accounting,"Shah, Paresh",658.1511 SHA,277441,
"Management accounting, financial management and holding company accountsb","Nagarathnam, S.",658.1511 NAG,106641,
Management accounting: a planning and control approach,"Pandey, I. M.",658.1511 PAN,229743,
"Management accounting: for b. com. iv semester, (Bangalore University)","Raj S. N., Dorai",658.1511 RAJ,301324,
Management and organisational behaviour: text and cases,"Rao, P. Subba",658.1 RAO,296835,
Management and organization,"Allen, Louis A",658 ALL,73846,
Management cases,Amjad Saeed,658.0722 MAN,194654,
Management control systems,"Anthony, Robert N.",658.401 ANT,180485,
Management control systems: using adaptive systems to attain control,"Maciariello, Joseph A.",658.401 MAC,176601,
Management ethics: integrity at work,"Petrick, Joseph A",174.4 PET,176191,
Management information systems,"Gupta, A.K.",658.4038011 GUP,240789,
Management information systems: managing information technology in the business enterprise,"O'Brien, James A.",658.4038 OBR,229830,
Management information systems: managing the digital firm,"Laudon, Kenneth C.",658.4038 LAU,299592,
Management of library and information centres: Paper V of the UGC model curriculum,"Kumar,P.S.G.",020.6 KUM,207835,
Management of organizational behavior: leading human resources,"Hersey, Paul",658.4 HER,271869,
Management of pollution control,"Trivedi, P. R",628.5068 MAN,189583,
Management of small scale industries,"Malhotra, I. S",338.642 MAL,189730,
Management of spinal cord injuries: a guide for physiotherapists,"Harvey, Lisa",616.83 HAR,286478,
"Management policy and strategic management: concepts, skills and practices","Srivastava, R. M",658 SRI,191163,
Management technique for librarians,"Evans, G. Edward",,104346,
Management: a global perspective,"Weihrich, Heinz",658 WEI,229824,
Management: principles and practice,Lallan Prasad,658 LAL,106675,
"Management: principles, practices and techniques","Aggarwala, Dharma Vira",658 AGG,176766,
"Management: principles, processes, and practices","Bhat, Anil",658 BHA,277315,
Management: theory and practice,"Dale, Ernest",658.001 DAL,120168,
Management: theory and practice,"Moshal, B. S.",658.001 MOS,180460,
Managerial economics,"Adhikary, M.",658.1511 ADH,180849,
Managerial economics,"Maheshwari, Yogesh",658.1511 MAH,207306,
Managerial economics,"Dwivedi, D. N.",658.1511 DWI,229868,
Managerial economics,"Petersen, H. Craig",658.1511 PET,229879,
Managerial economics,"Varshney, R. L.",658.1511 VAR,235908,
Managerial economics,"Thomas, Christopher R.",658.1511 THO,301509,
Managerial economics in a global economy,"Salvatore, Dominick",658.1511 SAL,176523,
Managerial economics: concepts and cases,"Mote, V.L.",658.1511 MOT,229749,
Managerial economics: in a global economy,"Salvatore, Dominick",658.1511 SAL,229860,
Managerial economics: theory and applications,"Trivedi, M.L.",658.1511 TRI,207946,
Managing human resources,"Monappa, Arun",658.3 MON,176015,
Managing human resources,"Gomez- Mejia, Luis R. and Balkin, David B.",658.3 GOM,207719,
Managing human resources: industrial relations in Indian enterprises,"Dwivedi, R. S",331.110954 DWI,194742,
Managing human resources: personnel management in Indian enterprises,"Dwivedi, R. S.",658.3 DWI,204469,
Managing organisational change,"Nilakant, V.",658.406 NIL,205234,
Managing retailing,"Sinha, Piyush Kumar",658.87 SIN,277385,
Managing sports injuries: a guide for students and clinnicians,"Norris, Christopher M.",617.1027 NOR,286600,
Manual of Mercantile law: including inductrial law,"Shukla, M. C.",346.07 SHU,301033,
Manual of practical Colon classification,"Satija, M. P",025.435 SAT,191846,
Manual of reference and information sources,Sewa Singh,028.7 SEW,300497,
Manual on the use of the Dewey Decimal Classification,"Comaromi, John P",025.431 MAN,144920,
Manufacture Science - I,"Rizvi, S. A.",670 RIZ,299999,
Manufacturing processes,Kaushish J.P.,670 KAU,275592,
Manufacturing processes for engineering materials,"Kalpakjian, Serope",670 KAL,317745,
Manufacturing processes-II,"Bawa, H.S.",670 BAW,239748,
Manufacturing science,"Rizwi, S.A.",670 RIZ,317472,
Manufacturing science - II,"Rizvi, S. A.",670 RIZ,300004,
"Manufacturing technology: foundry, forming and welding","Rao, P. N.",670 RAO,236177,
"Manufacturing technology: foundry, manufacturing and welding","Rao, P. N.",671.2 RAO,203215,
Manufacturing technology: theory and problems,"Singh, D. K.",670 SIN,230861,
Many-Particle physics,"Mahan, Gerald D.",530.41 MAH,299292,
Map work and practical geography,Gopal Singh,526.809 GOP,176925,
Maps and air photographs: images of the earth,"Dickinson, G. C",912.0148 DIC,74533,
Maps and diagrams: their compilation and construction,"Monkhouse, F. J.",912 MON,183047,
"March's advanced organic chemistry: reactions, mechanisms and structure","Smith, Michael B.",547 SMI,313975,
Market towns and spatial development in India,National Council of Applied Economic Research (New Delhi),338.954 NAT,24441,
Market-Based management: strategies for growing customer value and profitability,"Best, Roger J.",658.8 BES,271932,
Marketing,"Baines, Paul",658.8 BAI,277325,
Marketing & salesmanship,"Sherlekar, S. A",658.8 SHE,94033,
Marketing communications,The Institute of Chartered Financial Analysts of India,658.8 INS,255838,
Marketing communications: theory and practice,Niraj Kumar,658.8 NIR,180560,
Marketing financial services,"Pezzullo, Mary Ann",658.8 PEZ,206690,
Marketing management,"Saxena, Rajan",658.8 SAX,207941,
Marketing management,"Kotler, Philip",658.8 KOT,229865,
Marketing management,The Institute of Chartered Financial Analysts of India,658.8 INS,255849,
Marketing management for nonprofit organizations,"Sargeant, Adrian",658.8 SAR,277369,
"Marketing management.: planning, implementation and control; global perspective Indian context","Ramaswamy, V.S.",658.8 RAM,229655,
"Marketing management: analysis, planning and control","Kotler, Philip",658.8 KOT,176579,
Marketing management: text and cases,"Darymple, Douglas J.",658.8 DAR,251790,
Marketing mantra: the real story of direct marketing in India,"Das gupta, Vaswar",658.800954 DAS,180538,
Marketing of financial services,"Avadhani, V. A",332.10954 AVA,303170,
Marketing of financial services,"Avadhani, V. A",332.10954 AVA,303171,
Marketing practices in developing economy: cases from South Asia,"Dholakia, Ruby Roy  ed.",658.8 MAR,271938,
Marketing principles and practice,"Chunawalla, S. A.",658.802 CHU,177691,
Marketing research,"Pati, Debashis",658.83 PAT,274776,
"Marketing research: concepts, practices and cases","Easwaran, Sunanda",658.83 EAS,277424,
Marketing research: measurement and method,"Tull, Donald S.",658.8 TUL,229711,
Marketing research: text and cases.,"Nargundkar, Rajendra",658.83 NAR,207931,
Marketing research: tools and techniques,"Bradley, Nigel",658.83 BRA,277419,
Marketing: creating and keeping customers in an e-commerce world,"Zikmund, William G.",658.8 ZIK,201034,
Marketting financial services,"Pezzullo, Mary Ann",658.8 PEZ,199978,
Marriage and family in India,"Kapadia, K. M",306.8 KAP,50532,
"Marxian political economy: an outline,",,335.4 JAM,65264,
Marxist sociology,"Bottomore, Tom",301 BOT,61955,
Mass spectrometry: Analytical Chemistry by open learning,"Barker, James",543.0873 BAR,316715,
Massage and manual therapy for orthopedic condtions,"Hendrickson , Thomas",616.70622 HEN,300424,
Master your memory,"Buzan, Tony",153.12 BUZ,190447,
Masterbrain quiz book,"Buckle, Michael",793.73 BUC,142942,
Mastering C++,"Venugopal,K.R.",005.369 VEN,301883,
Mastering clound computing,"Buyya, Rajkumar",004.6782 BUY,318405,
Mastering excel 5 for windows,"Chester, Thomas",005.369 CHE,174777,
Mastering perl for bioinformtics,"Tisdall, James D",005.133 TIS,237247,
Mastering powerpoint 4 for windows,"Murray, Katherine",005.269 MUR,174800,
Mastering visual basic 6,"Petroutsos, Evangelos",005.362 PET,299569,
Masters of political thought,"Foster, Michael B.",320.5 FOS,66431,
Masters of sociological thought: ideas in historical and social context,"Coser, Lewis A",307.09 COS,63290,
Materials for engineering,"Martin, J.W.",620.11 MAR,267579,
Materials of construction,"Ghose, D. N.",691 GHO,168147,
Materials science,"Narula, G. K",620.11 NAR,168362,
Materials science,"Vijaya, M S",620.1 VIJ,277735,
Materials science and engineering: a first course in S. I. units,"Raghavan, V",620.11 RAG,179736,
Mathematical analysis,"Malik, S. C",515 MAL,179337,
Mathematical analysis,"Apostol, Tom M",515 APO,183552,
Mathematical analysis,"Malik, S. C",515 MAL,204625,
Mathematical analysis,"Apostol, Tom M",515 APO,235297,
Mathematical analysis,"Malik, S. C",515 MAL,238984,
Mathematical analysis,"Shirali, Satish",515 SHI,239665,
Mathematical analysis,"Malik, S.C.",515 MAL,303077,
Mathematical analysis and applications,"Nanda , S,ed.",515 MAT,234651,
Mathematical analysis and applications,"Nanda , S,ed.",515 MAT,234652,
Mathematical analysis for economists,"Allen, R. G. D",330.0151 ALL,63500,
Mathematical analysis: a straightforward approach,"Binmore, K. G",515 BIN,315757,
Mathematical economics,"Allen, R. G. D",330.1543 ALL,63503,
Mathematical elements for computer graphics,"Roger, David F.",006.6 ROG,238875,
Mathematical methods,Zafar Ahsan,510 ZAF,237148,
Mathematical methods and programming,"Nizard, A. F",519.7 NIZ,180746,
Mathematical methods for engineers and physicists,"Mukhopadhyay, A.K.",515.1 MUK,271443,
